n,xA,meanA,stddevA,xB,meanB,stddevB,xC,meanC,stddevC
1,0,1.0000,0.0000,1,1.0000,0.0000,1,1.0000,0.0000
2,1,1.1000,0.3000,2,1.4000,0.4899,8,1.3000,0.4583
3,2,1.5000,0.5000,3,1.7000,0.6403,27,1.6000,0.6633
4,2,1.9000,0.5385,4,1.8000,0.8718,64,1.8000,0.6000
5,3,2.0000,0.6325,5,1.7000,0.6403,125,2.1000,0.7000
6,3,2.3000,1.0050,6,2.2000,0.8718,216,2.5000,0.9220
7,3,2.0000,1.0000,7,2.7000,1.1000,343,2.8000,1.0770
8,3,1.3000,0.4583,8,2.1000,0.5385,512,2.3000,1.0050
9,4,1.7000,0.6403,9,2.6000,0.9165,729,3.2000,1.5362
10,4,2.2000,0.6000,10,2.7000,1.1874,1000,2.9000,1.3748
11,4,2.0000,0.6325,11,3.1000,1.3000,1331,2.9000,1.3000
12,4,2.4000,0.6633,12,2.5000,1.1180,1728,3.1000,1.1358
13,4,2.5000,0.9220,13,3.0000,0.8944,2197,2.6000,0.8000
14,4,2.2000,0.7483,14,3.2000,0.8718,2744,2.9000,0.9434
15,4,2.8000,1.1662,15,3.4000,1.1136,3375,3.0000,0.7746
16,4,3.0000,0.6325,16,2.1000,1.0440,4096,2.4000,1.5620
17,5,2.4000,1.0198,17,2.7000,1.1000,4913,3.0000,1.2649
18,5,2.7000,1.0050,18,1.5000,0.6708,5832,3.1000,1.0440
19,5,2.7000,0.6403,19,3.0000,1.3416,6859,3.5000,1.5000
20,5,2.4000,1.0198,20,3.2000,0.8718,8000,3.5000,1.4318
21,5,3.0000,0.6325,21,2.8000,1.4000,9261,3.4000,0.6633
22,5,2.2000,0.7483,22,2.9000,1.0440,10648,3.8000,1.4000
23,5,2.5000,1.0247,23,3.0000,1.7889,12167,3.8000,1.5362
24,5,1.9000,0.9434,24,2.5000,1.2845,13824,4.7000,1.1874
25,5,2.4000,1.0198,25,3.3000,1.3454,15625,3.5000,0.9220
26,5,2.8000,0.6000,26,4.0000,1.6733,17576,4.1000,1.6401
27,5,2.3000,1.0050,27,3.5000,0.6708,19683,4.5000,0.9220
28,5,2.6000,1.2806,28,3.8000,1.5362,21952,2.7000,1.2689
29,5,2.4000,0.9165,29,3.5000,0.9220,24389,4.1000,1.1358
30,5,1.9000,0.9434,30,3.7000,1.6155,27000,4.4000,1.5620
31,5,2.3000,1.1874,31,3.5000,1.2042,29791,4.1000,1.3748
32,5,2.5000,0.8062,32,4.3000,1.6155,32768,3.4000,1.2806
33,6,2.8000,1.3266,33,4.0000,1.9494,35937,4.0000,2.1448
34,6,2.2000,0.7483,34,3.1000,1.2207,39304,3.9000,1.2207
35,6,2.4000,0.9165,35,3.1000,1.2207,42875,4.4000,1.6852
36,6,2.9000,1.3000,36,3.7000,2.3259,46656,4.7000,1.7349
37,6,3.2000,1.1662,37,3.7000,1.3454,50653,4.1000,1.3748
38,6,2.3000,0.9000,38,4.6000,2.0591,54872,5.0000,1.7889
39,6,2.5000,1.0247,39,3.1000,1.6401,59319,4.5000,1.3601
40,6,3.0000,0.7746,40,3.5000,1.3601,64000,4.5000,1.1180
41,6,2.7000,1.1000,41,3.8000,1.0770,68921,3.7000,1.4177
42,6,2.9000,0.8307,42,4.0000,1.8974,74088,3.9000,1.5133
43,6,3.0000,1.2649,43,4.3000,1.4866,79507,4.4000,1.9079
